,Symbol,Name,Exchange,MarketCap
4702,MAA,"Mid-America Apartment Communities, Inc.",NYSE,10000000000.0
4708,MUFG,Mitsubishi UFJ Financial Group Inc,NYSE,44040000000.0
4710,MFG,"Mizuho Financial Group, Inc.",NYSE,27900000000.0
4721,MCO,Moody&#39;s Corporation,NYSE,32909999999.999996
4722,MS,Morgan Stanley,NYSE,45470000000.0
4728,MSI,"Motorola Solutions, Inc.",NYSE,23300000000.0
4730,MPLX,MPLX LP,NYSE,12420000000.0
4734,MSCI,MSCI Inc,NYSE,20610000000.0
4751,NGG,"National Grid Transco, PLC",NYSE,34840000000.0
4781,EDU,"New Oriental Education & Technology Group, Inc.",NYSE,17220000000.0
4789,NEM,Newmont Corporation,NYSE,32759999999.999996
4796,NEE,"NextEra Energy, Inc.",NYSE,93760000000.0
4800,NKE,"Nike, Inc.",NYSE,105040000000.0
4807,NOK,Nokia Corporation,NYSE,14950000000.0
4809,NMR,Nomura Holdings Inc ADR,NYSE,11910000000.0
4813,NSC,Norfolk Southern Corporation,NYSE,31900000000.0
4816,NOC,Northrop Grumman Corporation,NYSE,47610000000.0
4820,NVS,Novartis AG,NYSE,164030000000.0
4821,NVO,Novo Nordisk A/S,NYSE,116070000000.0
4825,NUE,Nucor Corporation,NYSE,9220000000.0
4827,NTR,Nutrien Ltd.,NYSE,15890000000.0
4901,OXY,Occidental Petroleum Corporation,NYSE,9160000000.0
4912,OMC,Omnicom Group Inc.,NYSE,10740000000.0
4924,ORCL,Oracle Corporation,NYSE,143960000000.0
4925,ORAN,Orange,NYSE,30930000000.0
4929,IX,Orix Corp Ads,NYSE,13310000000.0
4947,PANW,"Palo Alto Networks, Inc.",NYSE,14310000000.0
4955,PH,Parker-Hannifin Corporation,NYSE,13150000000.0
4959,PAYC,"Paycom Software, Inc.",NYSE,11350000000.0
4979,PTR,PetroChina Company Limited,NYSE,53920000000.0
4980,PBR,Petroleo Brasileiro S.A.- Petrobras,NYSE,31630000000.0
4981,PFE,"Pfizer, Inc.",NYSE,160940000000.0
4985,PM,Philip Morris International Inc,NYSE,95050000000.0
4986,PSX,Phillips 66,NYSE,21250000000.0
5021,PXD,Pioneer Natural Resources Company,NYSE,10230000000.0
5033,PNC,"PNC Financial Services Group, Inc. (The)",NYSE,38370000000.0
5041,PPG,"PPG Industries, Inc.",NYSE,18810000000.0
5042,PPL,PPL Corporation,NYSE,15100000000.0
5052,PG,Procter & Gamble Company (The),NYSE,252950000000.0
5053,PGR,Progressive Corporation (The),NYSE,39960000000.0
5054,PLD,"Prologis, Inc.",NYSE,46410000000.0
5063,PRU,"Prudential Financial, Inc.",NYSE,16780000000.000002
5064,PUK,Prudential Public Limited Company,NYSE,23670000000.0
5066,TLK,"PT Telekomunikasi Indonesia, Tbk",NYSE,17059999999.999998
5067,PEG,Public Service Enterprise Group Incorporated,NYSE,19100000000.0
5068,PSA,Public Storage,NYSE,29900000000.0
5088,DGX,Quest Diagnostics Incorporated,NYSE,10040000000.0
5103,RTN,Raytheon Company,NYSE,34570000000.0
5107,O,Realty Income Corporation,NYSE,16309999999.999998
5116,RELX,RELX PLC,NYSE,32759999999.999996
5121,RSG,"Republic Services, Inc.",NYSE,22830000000.0
5123,RMD,ResMed Inc.,NYSE,16540000000.0
5125,QSR,Restaurant Brands International Inc.,NYSE,9570000000.0
5135,RNG,"Ringcentral, Inc.",NYSE,16020000000.0
5136,RIO,Rio Tinto Plc,NYSE,45590000000.0
5149,ROK,"Rockwell Automation, Inc.",NYSE,14730000000.0
5150,RCI,"Rogers Communication, Inc.",NYSE,14880000000.0
5152,ROL,"Rollins, Inc.",NYSE,11470000000.0
5153,ROP,"Roper Technologies, Inc.",NYSE,30040000000.0
5155,RY,Royal Bank Of Canada,NYSE,77620000000.0
5156,RBS,Royal Bank Scotland plc (The),NYSE,15360000000.0
5169,SPGI,S&P Global Inc.,NYSE,50900000000.0
5175,CRM,Salesforce.com Inc,NYSE,124720000000.0
5183,SAP,SAP SE,NYSE,112560000000.0
5188,SLB,Schlumberger N.V.,NYSE,19820000000.0
5199,SE,Sea Limited,NYSE,17600000000.0
5208,SRE,Sempra Energy,NYSE,29120000000.0
5215,NOW,"ServiceNow, Inc.",NYSE,48340000000.0
5220,SHW,Sherwin-Williams Company (The),NYSE,37890000000.0
5222,SHOP,Shopify Inc.,NYSE,36170000000.0
5228,SPG,"Simon Property Group, Inc.",NYSE,14770000000.0
5235,SKM,"SK Telecom Co., Ltd.",NYSE,10090000000.0
5239,WORK,"Slack Technologies, Inc.",NYSE,12380000000.0
5242,SNN,"Smith & Nephew SNATS, Inc.",NYSE,13430000000.0
5243,SNAP,Snap Inc.,NYSE,14330000000.0
5251,SNE,Sony Corp Ord,NYSE,65030000000.0
5254,SO,Southern Company (The),NYSE,48870000000.0
5255,SCCO,Southern Copper Corporation,NYSE,19640000000.0
5256,LUV,Southwest Airlines Company,NYSE,16520000000.0
5266,SPOT,Spotify Technology S.A.,NYSE,22920000000.0
5268,S,Sprint Corporation,NYSE,30840000000.0
5271,SQ,"Square, Inc.",NYSE,16579999999.999998
5277,SWK,"Stanley Black & Decker, Inc.",NYSE,12240000000.0
5282,STT,State Street Corporation,NYSE,16540000000.0
5287,STE,STERIS plc,NYSE,9810000000.0
5291,STM,STMicroelectronics N.V.,NYSE,14600000000.0
5297,SYK,Stryker Corporation,NYSE,52210000000.0
5301,SMFG,Sumitomo Mitsui Financial Group Inc,NYSE,31980000000.0
5305,SUI,"Sun Communities, Inc.",NYSE,10470000000.0
5306,SLF,Sun Life Financial Inc.,NYSE,14910000000.0
5308,SU,Suncor Energy  Inc.,NYSE,16989999999.999998
5322,SYY,Sysco Corporation,NYSE,17970000000.0
5326,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,NYSE,230940000000.0
5327,TAK,Takeda Pharmaceutical Company Limited,NYSE,41340000000.0
5328,TAL,TAL Education Group,NYSE,28620000000.0
5334,TGT,Target Corporation,NYSE,48790000000.0
5339,TRP,TC Energy Corporation,NYSE,34340000000.000004
5342,TEL,TE Connectivity Ltd.,NYSE,18540000000.0
5355,TDOC,"Teladoc Health, Inc.",NYSE,10350000000.0
5359,TFX,Teleflex Incorporated,NYSE,11310000000.0
5360,VIV,Telefonica Brasil S.A.,NYSE,17780000000.0
5361,TEF,Telefonica SA,NYSE,23680000000.0
5363,TU,TELUS Corporation,NYSE,9360000000.0
5370,TME,Tencent Music Entertainment Group,NYSE,15530000000.0
5385,BK,The Bank Of New York Mellon Corporation ,NYSE,25730000000.0
5386,BX,The Blackstone Group Inc.,NYSE,45080000000.0
5388,SCHW,The Charles Schwab Corporation,NYSE,39550000000.0
5389,COO,"The Cooper Companies, Inc. ",NYSE,13370000000.0
5396,TRV,"The Travelers Companies, Inc.",NYSE,22830000000.0
5398,TMO,Thermo Fisher Scientific Inc,NYSE,111020000000.0
5402,TRI,Thomson Reuters Corp,NYSE,27520000000.0
5405,TIF,Tiffany & Co.,NYSE,15190000000.0
5411,TJX,"TJX Companies, Inc. (The)",NYSE,44960000000.0
5416,TD,Toronto Dominion Bank (The),NYSE,66920000000.0
5424,TOT,Total S.A.,NYSE,65450000000.0
5426,TM,Toyota Motor Corp Ltd Ord,NYSE,164060000000.0
5429,TT,Trane Technologies plc,NYSE,18040000000.0
5432,TDG,Transdigm Group Incorporated,NYSE,16239999999.999998
5435,TRU,TransUnion,NYSE,10380000000.0
5452,TFC,Truist Financial Corporation,NYSE,40400000000.0
5460,TWLO,Twilio Inc.,NYSE,11760000000.0
5462,TWTR,"Twitter, Inc.",NYSE,18760000000.0
5464,TYL,"Tyler Technologies, Inc.",NYSE,10270000000.0
5465,TSN,"Tyson Foods, Inc.",NYSE,19570000000.0
5466,USB,U.S. Bancorp,NYSE,49550000000.0
5470,UBER,"Uber Technologies, Inc.",NYSE,36770000000.0
5472,UBS,UBS AG,NYSE,29510000000.0
5473,UDR,"UDR, Inc.",NYSE,9440000000.0
5481,UN,Unilever NV,NYSE,108850000000.0
5482,UL,Unilever PLC,NYSE,123440000000.0
5483,UNP,Union Pacific Corporation,NYSE,81340000000.0
5488,UPS,"United Parcel Service, Inc.",NYSE,80230000000.0
5492,UTX,United Technologies Corporation,NYSE,71480000000.0
5493,UNH,UnitedHealth Group Incorporated,NYSE,195970000000.0
5510,VFC,V.F. Corporation,NYSE,20830000000.0
5514,VALE,VALE S.A.,NYSE,35800000000.0
5515,VLO,Valero Energy Corporation,NYSE,15820000000.0
5520,VAR,"Varian Medical Systems, Inc.",NYSE,9020000000.0
5524,VEEV,Veeva Systems Inc.,NYSE,19830000000.0
5531,VZ,Verizon Communications Inc.,NYSE,214240000000.0
5539,VIPS,Vipshop Holdings Limited,NYSE,9790000000.0
5543,V,Visa Inc.,NYSE,325360000000.0
5551,VMW,"Vmware, Inc.",NYSE,44160000000.0
5565,VMC,Vulcan Materials Company,NYSE,11210000000.0
5570,GWW,"W.W. Grainger, Inc.",NYSE,11470000000.0
5575,WMT,Walmart Inc.,NYSE,323350000000.0
5576,DIS,Walt Disney Company (The),NYSE,155230000000.0
5580,WCN,"Waste Connections, Inc.",NYSE,20620000000.0
5581,WM,"Waste Management, Inc.",NYSE,41750000000.0
5582,WAT,Waters Corporation,NYSE,10780000000.0
5587,WEC,"WEC Energy Group, Inc.",NYSE,23370000000.0
5592,WFC,Wells Fargo & Company,NYSE,108370000000.0
5594,WELL,Welltower Inc.,NYSE,17410000000.0
5596,WST,"West Pharmaceutical Services, Inc.",NYSE,9650000000.0
5623,WBK,Westpac Banking Corporation,NYSE,31200000000.0
5627,WY,Weyerhaeuser Company,NYSE,11000000000.0
5628,WPM,Wheaton Precious Metals Corp.,NYSE,10810000000.0
5634,WMB,"Williams Companies, Inc. (The)",NYSE,13980000000.0
5637,WIT,Wipro Limited,NYSE,15130000000.0
5655,XYL,Xylem Inc.,NYSE,10790000000.0
5663,YUMC,"Yum China Holdings, Inc.",NYSE,15290000000.0
5664,YUM,"Yum! Brands, Inc.",NYSE,17470000000.0
5666,ZBH,"Zimmer Biomet Holdings, Inc.",NYSE,17750000000.0
5667,ZTS,Zoetis Inc.,NYSE,47940000000.0
5668,ZTO,ZTO Express (Cayman) Inc.,NYSE,19310000000.0
5723,CQP,"Cheniere Energy Partners, LP",AMEX,10700000000.0
